微博id,微博正文,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
https://www.weibo.com/2705812597/LnVpGtiDe,[置顶]分享图片 太原  显示地图 [组图共2张] 原图 ,"http://ww3.sinaimg.cn/large/a1476c75ly1h15lkzm3l3j21uc1acwrq.jpg,http://ww3.sinaimg.cn/large/a1476c75ly1h15llckjvcj21uc1actwx.jpg",无,True,无,太原,2022-04-11 10:59,无,8,0,4
https://www.weibo.com/2705812597/MiaiOammN,这老头该不会觉得，在红楼的那两个班的同学吃不饱穿不暖澡也没法洗都无所谓，唯一的心愿就是看看隔着窗户老头吧（我以为他至少能给那俩班的同学带点吃的也算）  [组图共2张] 原图 ,"http://ww3.sinaimg.cn/large/a1476c75ly1h8stvd0477j20u01uoq8x.jpg,http://ww3.sinaimg.cn/large/a1476c75ly1h8stvdbqh7j206o06o3ye.jpg",无,True,无,无,2022-12-05 12:36,微博轻享版,2,0,4
https://www.weibo.com/2705812597/Mi3rV4xwp,忆往昔峥嵘岁月稠（已经过去五六年了，1503和美术老师的对抗史还是好好笑）  [组图共5张] 原图 ,"http://ww1.sinaimg.cn/large/a1476c75ly1h8rzm50dqtj20u01uoqb3.jpg,http://ww3.sinaimg.cn/large/a1476c75ly1h8rzm5mh22j20u01uodo2.jpg,http://ww1.sinaimg.cn/large/a1476c75ly1h8rzm67vwzj20u01uo7c7.jpg,http://ww2.sinaimg.cn/large/a1476c75ly1h8rzm6w83dj20u01uogte.jpg,http://ww2.sinaimg.cn/large/a1476c75ly1h8rzm7h7i4j20u01uojz9.jpg",无,True,无,无,2022-12-04 19:09,微博轻享版,14,0,21
https://www.weibo.com/2705812597/Mi3bGAtfE,炸鱼选女士对我的鼓励永远在峡谷里回响，生生不息  [组图共3张] 原图 ,"http://ww4.sinaimg.cn/large/a1476c75ly1h8rygkexv2j20u01uon6i.jpg,http://ww3.sinaimg.cn/large/a1476c75ly1h8rygl0k4aj21uo0u0457.jpg,http://ww1.sinaimg.cn/large/a1476c75ly1h8ryglttxwj21uo0u0qac.jpg",无,True,无,无,2022-12-04 18:29,微博轻享版,3,0,0
https://www.weibo.com/2705812597/MhAQZr7Qh,"转发理由:好漂亮  
原始用户: 李勇Leon
转发内容: 乌镇的雪 李勇Leon的微博视频  ",无,无,False,无,无,2022-12-01 18:21,微博轻享版,1,0,0
https://www.weibo.com/2705812597/MgXv1cvPR,乍一看我以为我多了个毛绒玩具哈哈哈  [组图共2张] 原图 ,"http://ww3.sinaimg.cn/large/a1476c75ly1h8jnmqmttvj21400u0grr.jpg,http://ww2.sinaimg.cn/large/a1476c75ly1h8jnms03toj20u014079p.jpg",无,True,无,无,2022-11-27 14:10,微博轻享版,11,0,8
https://www.weibo.com/2705812597/MgRBVfG6d,我今天去楼下买鸡蛋，有两种价位的：七块钱一斤的和10块钱一斤的。想我八月份在离石实习的时候买鸡蛋还是四块多一斤  原图 ,https://wx4.sinaimg.cn/large/a1476c75ly1h8ixmw1zkgj20go0c0jrx.jpg,无,True,无,无,2022-11-26 23:11,微博轻享版,4,0,4
https://www.weibo.com/2705812597/MgOgxgy6S,MLGB我真的恨透了这个疫情我妈上班去太谷方舱半个月了，估计还得一个月才能回来我前几天晚上一点多给我妈发消息，我寻思着怎么也得早晨她才会回我。可是她秒回了，当时居然是在去上班的路上。好多次了，她说那里的饭很难吃，好多都不熟，吃了还会拉肚子，而且是很多人吃了都不舒服。我说那反映一下啊，实在不行投诉一下，你们过去当牛做马的，不是要吃山珍海味，至少健康一点吧…我妈说没必要，大家都说公职人员，闹大了以后会受制的。今天我看见他们喝的那个汤，真的恶心，比我爸做的饭还恶心。凉拌海带，凉拌那种地摊上泡发豆皮，炒白菜帮子。这样还要号称每天几菜一汤…从2020年开始，我妈每隔一段时间都会去隔离点或者方舱支援。我从来没觉得她是白衣天使，从来不觉得她是舍小家为大家，我只觉得她快五十的人了，怎么每天被憋在防护服里不能喘口气儿，怎么每天凌晨没法睡觉还在上班，怎么每天吃的这么差的饭，我妈妈每天被这个b疫情折腾，怎么我一点点都帮不到我妈妈             [组图共3张]      原图                             ,"http://ww4.sinaimg.cn/large/a1476c75ly1h8iiv8cnwgj20u01uoqbq.jpg,http://ww4.sinaimg.cn/large/a1476c75ly1h8iiv9aobej20u01uogu8.jpg,http://ww4.sinaimg.cn/large/a1476c75ly1h8iiv9vd0wj20u013zju2.jpg",无,True,无,无,2022-11-26 14:40,微博轻享版,28,0,15
https://www.weibo.com/2705812597/MgK8YEtWC,"转发理由:转发微博  
原始用户: 空气卧底
转发内容: 当任何人以“请配合我的工作”之名做恶，那清算的时候就不要用“我只是一个执行者”开脱。  ",无,无,False,无,无,2022-11-26 04:10,微博轻享版,4,1,0
https://www.weibo.com/2705812597/MgJK69hD0,余秀华写封控笼罩的生活状态：巴巴地活着，每天打水，煮饭，按时吃药  ,无,无,True,无,无,2022-11-26 03:09,微博轻享版,1,0,0
https://www.weibo.com/2705812597/MgIib8BJQ,感觉疫情之前导员没有这么疯的可恶的疫情为什么要坑害这么一个无辜的老年人！  [组图共3张] 原图 ,"http://ww4.sinaimg.cn/large/a1476c75ly1h8hshv1knmj20u01uodkr.jpg,http://ww1.sinaimg.cn/large/a1476c75ly1h8hshvlrbvj20u01uogqj.jpg,http://ww2.sinaimg.cn/large/a1476c75ly1h8hshw7ovlj20u01uowk5.jpg",无,True,无,无,2022-11-25 23:27,微博轻享版,6,0,8
https://www.weibo.com/2705812597/MgEeWiV16,"转发理由:在封封控控//@晓卉是一枝花:那两情不在朝朝暮暮在啥啊，在隔隔离离吗  
原始用户: 晓卉是一枝花
转发内容: 你俩还处着呐  [组图共3张] 原图 ",无,"http://ww2.sinaimg.cn/large/e2bbf4e3gy1h8h5wuibl3j20qy1gz42y.jpg,http://ww3.sinaimg.cn/large/e2bbf4e3gy1h8h5x77d74j20u01uoti7.jpg,http://ww3.sinaimg.cn/large/e2bbf4e3gy1h8h5x7ja6fj20u01uowni.jpg",False,无,无,2022-11-25 13:08,微博轻享版,0,0,0
https://www.weibo.com/2705812597/MgoLT2CmR,有没有什么办法让我爸别做饭了  原图 ,https://wx3.sinaimg.cn/large/a1476c75ly1h8febf0f8dj21400u0wkn.jpg,无,True,无,无,2022-11-23 21:46,微博轻享版,10,0,9
